zipcode,city_name,house_type,prix_m2
1360,BELIGNEUX,Maison,4308.380952380952
1360,LOYETTES,Appartement,1666.6666666666667
1360,LOYETTES,Maison,1920.0
1370,SAINT-ETIENNE-DU-BOIS,Maison,2163.56990557417
1370,VAL-REVERMONT,Appartement,1311.4754098360656
1370,VAL-REVERMONT,Maison,2173.913043478261
1380,SAINT-ANDRE-DE-BAGE,Maison,2085.449534883721
1380,SAINT-CYR-SUR-MENTHON,Maison,2777.777777777778
1390,CIVRIEUX,Maison,3687.6190476190477
1390,SAINT-ANDRE-DE-CORCY,Maison,3516.5028089887637
1390,TRAMOYES,Appartement,2130.9523809523807
1390,TRAMOYES,Maison,3330.0
1400,CHATILLON-SUR-CHALARONNE,Appartement,2551.0204081632655
1400,CHATILLON-SUR-CHALARONNE,Maison,3409.090909090909
1400,CONDEISSIAT,Appartement,2183.9080459770116
1400,CONDEISSIAT,Maison,1953.125
1400,NEUVILLE-LES-DAMES,Maison,2921.5803278688527
1400,SANDRANS,Maison,2310.454310789881
1410,LELEX,Appartement,1604.697933227345
1420,CHANAY,Maison,2264.1509433962265
1420,SEYSSEL,Appartement,2631.5789473684213
1420,SEYSSEL,Maison,2035.8490566037735
1430,CHEVILLARD,Maison,2540.9836065573772
1430,LANTENAY,Maison,1608.2474226804125
1430,MAILLAT,Maison,2938.823529411765
1450,CERDON,Maison,1300.0
1450,PONCIN,Maison,1875.892857142857
1450,SERRIERES-SUR-AIN,Maison,2378.125
1460,BRION,Maison,3066.6666666666665
1460,NURIEUX-VOLOGNAT,Maison,2650.0
1460,PORT,Maison,2592.5925925925926
1470,BRIORD,Maison,2378.048780487805
1470,SERRIERES-DE-BRIORD,Maison,1957.7922077922076
1480,BEAUREGARD,Maison,3171.078431372549
1480,CHALEINS,Appartement,3109.375
1480,FRANS,Maison,3821.8390804597702
1480,JASSANS-RIOTTIER,Appartement,3194.4444444444443
1480,JASSANS-RIOTTIER,Maison,3083.2
1480,SAVIGNEUX,Maison,3748.181818181818
1480,VILLENEUVE,Maison,2466.6666666666665
1500,AMBERIEU-EN-BUGEY,Appartement,2746.478873239437
1500,AMBERIEU-EN-BUGEY,Maison,3108.910891089109
1500,AMBRONAY,Maison,2720.7108695652173
1500,AMBUTRIX,Maison,3384.6153846153848
1500,BETTANT,Maison,2233.3333333333335
1500,CHATEAU-GAILLARD,Maison,2408.2928918070224
1500,SAINT-DENIS-EN-BUGEY,Appartement,1560.0
1510,ARTEMARE,Maison,2472.5274725274726
1540,PERREX,Maison,2594.5945945945946
1540,SAINT-JULIEN-SUR-VEYLE,Maison,2746.376811594203
1540,VONNAS,Appartement,1732.6732673267327
1540,VONNAS,Maison,2121.212121212121
1550,COLLONGES,Appartement,3905.1555057439055
1550,COLLONGES,Maison,4977.337398373984
1550,FARGES,Maison,3427.536231884058
1550,POUGNY,Appartement,2956.521739130435
1550,POUGNY,Maison,2364.864864864865
1560,CURCIAT-DONGALON,Maison,3865.6716417910447
1560,LESCHEROUX,Maison,2368.034447821682
1560,SAINT-TRIVIER-DE-COURTES,Maison,1718.75
