Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
82057,82170,FABAS,631.0,82,73
32433,32420,SIMORRE,3567.0,32,73
60505,60520,PONTARME,1313.0,60,22
61405,61340,SAINT-HILAIRE-SUR-ERRE,1536.0,61,25
24186,24500,FONROQUE,899.0,24,72
25414,25170,LE MOUTHEROT,125.0,25,43
18034,18200,BOUZAIS,331.0,18,24
31228,31380,GRAGNAGUE,1297.0,31,73
21424,21250,MONTAGNY-LES-SEURRE,712.0,21,26
59537,59213,SAINT-MARTIN-SUR-ECAILLON,534.0,59,31
44142,44140,REMOUILLE,2188.0,44,52
01240,01580,MATAFELON-GRANGES,2175.0,01,82
52064,52150,BOURMONT,1614.0,52,21
2B148,20290,LUCCIANA,2932.0,2B,94
65209,65240,GREZIAN,195.0,65,73
39037,39380,BANS,415.0,39,43
31206,31550,GAILLAC-TOULZA,4059.0,31,73
44161,44530,SAINT-GILDAS-DES-BOIS,3355.0,44,52
10055,10110,BOURGUIGNONS,1663.0,10,21
02687,02600,SAINT-PIERRE-AIGLE,1201.0,02,22
54596,54990,XEUILLEY,742.0,54,41
30285,30360,SAINT-MAURICE-DE-CAZEVIEILLE,1332.0,30,91
12265,12190,SEBRAZAC,2524.0,12,73
87153,87460,SAINT-JULIEN-LE-PETIT,2929.0,87,74
62009,62116,ADINFER,633.0,62,31
43123,43360,LORLANGES,1458.0,43,83
74157,74200,LYAUD,916.0,74,82
02383,02720,HOMBLIERES,1471.0,02,22
83040,83840,CHATEAUVIEUX,1483.0,83,93
60278,60640,GOLANCOURT,413.0,60,22
67535,67290,WIMMENAU,2090.0,67,42
65188,65120,GAVARNIE,8394.0,65,73
95379,95420,MAUDETOUR-EN-VEXIN,668.0,95,11
77312,77690,MONTIGNY-SUR-LOING,916.0,77,11
14521,14410,PRESLES,916.0,14,25
59141,59400,CAUROIR,567.0,59,31
38146,38460,DIZIMIEU,964.0,38,82
79072,79300,LA CHAPELLE-GAUDIN,1709.0,79,54
40149,40120,LENCOUACQ,9810.0,40,72
14430,14960,MEUVAINES,741.0,14,25
79167,79600,MARNES,1717.0,79,54
62258,62130,CROISETTE,758.0,62,31
77012,77560,AUGERS-EN-BRIE,1338.0,77,11
26077,26260,CHARMES-SUR-L'HERBASSE,1296.0,26,82
89179,89520,FONTENOY,1594.0,89,26
31455,31310,RIEUX-VOLVESTRE,3273.0,31,73
70478,70240,SAULX,1513.0,70,43
88389,88500,REPEL,349.0,88,41
79003,79230,AIFFRES,2589.0,79,54
31549,31110,SODE,545.0,31,73
85220,85110,SAINT-GERMAIN-DE-PRINCAY,2476.0,85,52
12015,12120,AURIAC-LAGAST,3060.0,12,73
57219,57365,FLEVY,1152.0,57,41
46052,46100,CAMBOULIT,523.0,46,73
24090,24600,CELLES,2791.0,24,72
61152,61160,ECORCHES,986.0,61,25
55573,55190,VOID-VACON,3556.0,55,41
45256,45260,PRESNOY,785.0,45,24
29017,29810,BRELES,1396.0,29,53
03107,03450,EBREUIL,2314.0,03,83
25563,25870,THUREY-LE-MONT,485.0,25,43
77199,77470,FUBLAINES,550.0,77,11
52045,52100,BETTANCOURT-LA-FERREE,536.0,52,21
08223,08370,HERBEUVAL,738.0,08,21
77158,77940,DIANT,1101.0,77,11
71151,71490,CREOT,215.0,71,26
62603,62152,NESLES,508.0,62,31
89146,89200,DOMECY-SUR-LE-VAULT,619.0,89,26
